GO_0009536	GO_0034400
GO_0009536	GO_0009537
GO_0009536	GO_0009516
GO_0009536	GO_0009513
GO_0009536	GO_0009509
GO_0009536	GO_0009507
GO_0009547	GO_0043253
GO_0034518	GO_0098745
GO_0034518	GO_0034519
GO_0034518	GO_0005845
GO_0034518	GO_0005846
GO_0009579	GO_0042649
GO_0009579	GO_0030075
GO_0009579	GO_0009533
GO_0009579	GO_0009534
GO_0009579	GO_0070116
GO_0009579	GO_0009515
GO_0009579	GO_0009843
GO_0009579	GO_0031976
GO_0009343	GO_0032284
GO_0010330	GO_0044567
GO_0010330	GO_0044568
GO_0010339	GO_0070263
GO_0009368	GO_0009841
GO_0009368	GO_0009840
GO_0010369	GO_0010370
GO_0010369	GO_0005701
GO_0000942	GO_0042729
GO_0000940	GO_0042729
GO_0000940	GO_0000942
GO_0034364	GO_0034365
GO_0034364	GO_0034366
GO_0000939	GO_0000941
GO_0000934	GO_0000937
GO_0000930	GO_0061495
GO_0000930	GO_0061494
GO_0000930	GO_0008274
GO_0000930	GO_0008275
GO_0000930	GO_0000927
GO_0000930	GO_0000928
GO_0000930	GO_0000924
GO_0000930	GO_0055033
GO_0000930	GO_0055032
GO_0000930	GO_0055031
GO_0000930	GO_0000931
GO_0000931	GO_0008274
GO_0000931	GO_0000924
GO_0000931	GO_0061494
GO_0000931	GO_0055033
GO_0000931	GO_0055032
GO_0000931	GO_0055031
GO_0034357	GO_0033115
GO_0034357	GO_0031676
GO_0034357	GO_0070118
GO_0034357	GO_0042651
GO_0034357	GO_0009535
GO_0034357	GO_0042650
GO_0034357	GO_0055035
GO_0034357	GO_0042717
GO_0034358	GO_0034359
GO_0034358	GO_0034364
GO_0034358	GO_0042627
GO_0034358	GO_0034365
GO_0034358	GO_0034362
GO_0034358	GO_0034385
GO_0034358	GO_0034363
GO_0034358	GO_0034366
GO_0034358	GO_0034360
GO_0034358	GO_0034361
GO_0000928	GO_0061495
GO_0000922	GO_0090619
GO_0000922	GO_0097431
GO_0034385	GO_0034363
GO_0034385	GO_0034361
GO_0009317	GO_0032282
GO_0009325	GO_0044799
GO_0009329	GO_0032283
GO_0000835	GO_1990389
GO_0000835	GO_0000839
GO_0000835	GO_0000837
GO_0000835	GO_0000838
GO_0000835	GO_0000836
GO_0000836	GO_0000839
GO_0000836	GO_0000838
GO_0009277	GO_0005619
GO_0009277	GO_0030445
GO_0009277	GO_0030446
GO_0009274	GO_0009276
GO_0009274	GO_0009275
GO_0009279	GO_0036407
GO_0009288	GO_0055040
GO_0009289	GO_0044096
GO_0009295	GO_0042647
GO_0009295	GO_0042646
GO_0009295	GO_0039642
GO_0009295	GO_0042645
GO_0009295	GO_0042644
GO_0009295	GO_0043590
GO_0000808	GO_0000809
GO_0000808	GO_0005664
GO_0000805	GO_0001740
GO_0000803	GO_0098577
GO_0000803	GO_0001740
GO_0000803	GO_0098579
GO_0000803	GO_0001741
GO_0000803	GO_0000806
GO_0000803	GO_0000807
GO_0000803	GO_0000804
GO_0000803	GO_0000805
GO_0048788	GO_0098986
GO_0048788	GO_0098980
GO_0048770	GO_0043698
GO_0048770	GO_0043699
GO_0048770	GO_0043700
GO_0048770	GO_0043701
GO_0048770	GO_0042470
GO_0097708	GO_0097598
GO_0097708	GO_1990476
GO_0097708	GO_1990475
GO_0097708	GO_0070111
GO_0097708	GO_1990474
GO_0097708	GO_0030135
GO_0097708	GO_0030136
GO_0097708	GO_0030137
GO_0097708	GO_0030139
GO_0097708	GO_0070319
GO_0097708	GO_0030140
GO_0097708	GO_0030141
GO_0097708	GO_0030142
GO_0097708	GO_0030143
GO_0097708	GO_0042599
GO_0097708	GO_0070081
GO_0097708	GO_1990503
GO_0097708	GO_0036000
GO_0097708	GO_0033093
GO_0097708	GO_0033095
GO_0097708	GO_0097487
GO_0097708	GO_0020020
GO_0097708	GO_0099503
GO_0097708	GO_0097208
GO_0097708	GO_0070820
GO_0097708	GO_0097209
GO_0097708	GO_0033117
GO_0097708	GO_0048770
GO_0097708	GO_0042470
GO_0097708	GO_0008021
GO_0097708	GO_0032195
GO_0097708	GO_0060473
GO_0097708	GO_0061200
GO_0097708	GO_0060198
GO_0097708	GO_0032593
GO_0097708	GO_0060199
GO_0097708	GO_0042588
GO_0097708	GO_0030133
GO_0097708	GO_0030134
GO_0097708	GO_0005798
GO_0097708	GO_1990457
GO_0097708	GO_0042827
GO_0097708	GO_1990257
GO_0097708	GO_0045334
GO_0097708	GO_0045335
GO_0097708	GO_0044840
GO_0097708	GO_0045336
GO_0097708	GO_0101002
GO_0097708	GO_0033107
GO_0097708	GO_0042583
GO_0097708	GO_0042582
GO_0097708	GO_0042581
GO_0097708	GO_0060200
GO_0097708	GO_0033675
GO_0097708	GO_0031410
GO_0097708	GO_0020026
GO_0097708	GO_0045009
GO_0097708	GO_0043700
GO_0097708	GO_0098594
GO_0097708	GO_0043701
GO_0097708	GO_0046816
GO_0097708	GO_0001669
GO_0097708	GO_0043702
GO_0097708	GO_0098992
GO_0097708	GO_0070381
GO_0097708	GO_0031091
GO_0097708	GO_1990008
GO_0097708	GO_0070382
GO_0097708	GO_1990005
GO_0097708	GO_1990006
GO_0097708	GO_0043660
GO_0097708	GO_0044310
GO_0097708	GO_0097547
GO_0097708	GO_0000331
GO_0097708	GO_0032009
GO_0097708	GO_0032010
GO_0097708	GO_0031045
GO_0097708	GO_0043698
GO_0097708	GO_0016023
GO_0097708	GO_0043699
GO_0097708	GO_0043659
GO_0097683	GO_0097686
GO_0097684	GO_0097687
GO_0097633	GO_0097634
GO_0097636	GO_0097637
GO_0097648	GO_0038037
GO_0097648	GO_0038038
GO_0097648	GO_0038039
GO_0097648	GO_1903439
GO_0097648	GO_1902712
GO_0097648	GO_1990406
GO_0097648	GO_1903440
GO_0097648	GO_1903143
GO_0097651	GO_0005943
GO_0097651	GO_0005944
GO_0000798	GO_0034991
GO_0000798	GO_0034990
GO_0000796	GO_0000799
GO_0000792	GO_0031618
GO_0000792	GO_0098578
GO_0000792	GO_1990421
GO_0000792	GO_1990342
GO_0000792	GO_1990343
GO_0000792	GO_0031933
GO_0000792	GO_0031934
GO_0000792	GO_1902377
GO_0000792	GO_0033553
GO_0000792	GO_0035985
GO_0000792	GO_1990707
GO_0000792	GO_0098580
GO_0000792	GO_0001739
GO_0000792	GO_0005720
GO_0000792	GO_0005721
GO_0000792	GO_0005722
GO_0000792	GO_0005723
GO_0000792	GO_0005724
GO_0000792	GO_0005725
GO_0000793	GO_0000794
GO_0000790	GO_0031618
GO_0000790	GO_0098578
GO_0000790	GO_1990342
GO_0000790	GO_0070211
GO_0000790	GO_1990343
GO_0000790	GO_0005719
GO_0000790	GO_0070823
GO_0000790	GO_0070209
GO_0000790	GO_1902377
GO_0000790	GO_1904834
GO_0000790	GO_1990707
GO_0000790	GO_0098580
GO_0000790	GO_0001739
GO_0000790	GO_0005720
GO_0000790	GO_0005724
GO_0000790	GO_0005725
GO_0000791	GO_0005719
GO_0000785	GO_0070211
GO_0000785	GO_0005719
GO_0000785	GO_0035327
GO_0000785	GO_0035328
GO_0000785	GO_0033553
GO_0000785	GO_1990707
GO_0000785	GO_0061638
GO_0000785	GO_0005720
GO_0000785	GO_0005721
GO_0000785	GO_0005722
GO_0000785	GO_0005723
GO_0000785	GO_0005724
GO_0000785	GO_0005725
GO_0000785	GO_0031618
GO_0000785	GO_1990421
GO_0000785	GO_0098578
GO_0000785	GO_1990342
GO_0000785	GO_1990343
GO_0000785	GO_0000792
GO_0000785	GO_0000790
GO_0000785	GO_0000791
GO_0000785	GO_0070823
GO_0000785	GO_0070209
GO_0000785	GO_0031933
GO_0000785	GO_0031934
GO_0000785	GO_1902377
GO_0000785	GO_0035985
GO_0000785	GO_1904834
GO_0000785	GO_0098580
GO_0000785	GO_0001739
GO_0000785	GO_0000789
GO_0000786	GO_0043505
GO_0000786	GO_0000787
GO_0000786	GO_0000788
GO_0000783	GO_0070187
GO_0000783	GO_1990879
GO_0000781	GO_0035012
GO_0000781	GO_0000784
GO_0000782	GO_0070187
GO_0000782	GO_0000783
GO_0000782	GO_1990879
GO_0000782	GO_0043769
GO_0000779	GO_0000780
GO_0000776	GO_0000778
GO_0000776	GO_0000777
GO_0000777	GO_0000778
GO_0000775	GO_0000780
GO_0000775	GO_0000779
GO_0010009	GO_0098559
GO_0010009	GO_0098560
GO_0010008	GO_0098896
GO_0010008	GO_0098954
GO_0010008	GO_0098944
GO_0010008	GO_0031902
GO_0010008	GO_0031901
GO_0010008	GO_0032585
GO_0010008	GO_0055038
GO_0010008	GO_0036020
GO_0010008	GO_0098895
GO_0097610	GO_0032154
GO_0097610	GO_0097611
GO_0097610	GO_0097612
GO_0097610	GO_0097618
GO_0097610	GO_0097685
GO_0097612	GO_0097618
GO_0097630	GO_0097631
GO_0034081	GO_0034082
GO_0034081	GO_0034083
GO_0097574	GO_0031255
GO_0097517	GO_0001725
GO_0097518	GO_0097516
GO_0097518	GO_0098859
GO_0097518	GO_0070648
GO_0097518	GO_0098860
GO_0097518	GO_0098861
GO_0097525	GO_0071001
GO_0097525	GO_0046540
GO_0097525	GO_0071003
GO_0097525	GO_0071002
GO_0097525	GO_0071024
GO_0097525	GO_0097526
GO_0097525	GO_0071009
GO_0097525	GO_0071019
GO_0097525	GO_0005690
GO_0097525	GO_0005691
GO_0097525	GO_0034693
GO_0097525	GO_0005692
GO_0097525	GO_0005682
GO_0097525	GO_0005693
GO_0097525	GO_0005685
GO_0097525	GO_0005686
GO_0097525	GO_0005687
GO_0097525	GO_0005688
GO_0097526	GO_0046540
GO_0097526	GO_0071009
GO_0000502	GO_0009376
GO_0000502	GO_1990111
GO_0000502	GO_0031595
GO_0000502	GO_0031597
GO_0000502	GO_0034515
GO_0048500	GO_0080085
GO_0048500	GO_0048501
GO_0048500	GO_0005786
GO_0097449	GO_0097450
GO_0097449	GO_0097451
GO_0048492	GO_0009573
GO_0048492	GO_0048493
GO_0048492	GO_0048494
GO_0048494	GO_0048493
GO_0097450	GO_0097451
GO_0097458	GO_0071683
GO_0097458	GO_1990796
GO_0097458	GO_1990795
GO_0097458	GO_0048786
GO_0097458	GO_1990037
GO_0097458	GO_0098888
GO_0097458	GO_1990032
GO_0097458	GO_0098889
GO_0097458	GO_0071565
GO_0097458	GO_1990033
GO_0097458	GO_0044224
GO_0097458	GO_0048787
GO_0097458	GO_1990030
GO_0097458	GO_0044225
GO_0097458	GO_1990031
GO_0097458	GO_0048788
GO_0097458	GO_0002142
GO_0097458	GO_0002141
GO_0097458	GO_0002140
GO_0097458	GO_0098929
GO_0097458	GO_0099065
GO_0097458	GO_0043005
GO_0097458	GO_0099067
GO_0097458	GO_0099066
GO_0097458	GO_0098891
GO_0097458	GO_1990427
GO_0097458	GO_0097440
GO_0097458	GO_0097441
GO_0097458	GO_0097442
GO_0097458	GO_0098894
GO_0097458	GO_1990027
GO_0097458	GO_0044295
GO_0097458	GO_1990025
GO_0097458	GO_0097444
GO_0097458	GO_0002139
GO_0097458	GO_0097445
GO_0097458	GO_1990026
GO_0097458	GO_0044296
GO_0097458	GO_0098897
GO_0097458	GO_0098899
GO_0097458	GO_0097447
GO_0097458	GO_1990024
GO_0097458	GO_1990021
GO_0097458	GO_0097448
GO_0097458	GO_0044299
GO_0097458	GO_1990780
GO_0097458	GO_1990020
GO_0097458	GO_0032589
GO_0097458	GO_0098938
